variable,coefficient
age,0.0814942104464585
gender1,0.723012572668313
bl_cysc,0.526764849388126
edu2,-0.230006518875458
edu3,-0.142842176903303
edu4,-0.46477588258018
bl_crp,0.0179369133453691
marry1,-0.279986170969049
lunge1,0.437659752125844
hypertension1,0.179927553953145
CCR,-0.491323180627402
ckm_stage1,-0.162848495873717
ckm_stage2,0.0069236030343159
ckm_stage3,-0.0241577403533711
bmi,-0.000769247615037363
